Date,Open,High,Low,Close,Volume,Adj Close,Future_categorical
20/2/2017,20663.4297,20840.6992,20663.3691,20821.7598,1242060000,20821.7598,1
27/2/2017,20808.7109,21169.1094,20774.7598,21005.7109,1562900000,21005.7109,1
6/3/2017,20955.7109,20986.4297,20777.1602,20902.9805,1429420000,20902.9805,0
13/3/2017,20899.2793,21000.1094,20786.3105,20914.6191,1642310000,20914.6191,1
20/3/2017,20916.2695,20970.0391,20529.6699,20596.7207,1521050000,20596.7207,0
27/3/2017,20488.3496,20753.7793,20412.8008,20663.2207,1382040000,20663.2207,1
3/4/2017,20665.1699,20887.5,20517.8203,20656.0996,1279490000,20656.0996,0
10/4/2017,20668.2207,20750.3301,20453.25,20453.25,989080000,20453.25,0
17/4/2017,20484.75,20644.4102,20379.5508,20547.7598,1469250000,20547.7598,1
24/4/2017,20723.5898,21070.9004,20723.5898,20940.5098,1654810000,20940.5098,1
1/5/2017,20962.7305,21006.9395,20847.9492,21006.9395,1473570000,21006.9395,1
8/5/2017,20991.2598,21046.8496,20798.9004,20896.6094,1408670000,20896.6094,0
15/5/2017,20923.6309,21033.5293,20553.4492,20804.8398,1835720000,20804.8398,0
22/5/2017,20867.7695,21112.3203,20860.1602,21080.2793,1281220000,21080.2793,1
29/5/2017,21045.4902,21225.0391,20942.5703,21206.2891,1220820000,21206.2891,1
5/6/2017,21195.0293,21305.3496,21113.3105,21271.9707,1554270000,21271.9707,1
12/6/2017,21259.9492,21391.9707,21186.1504,21384.2793,2067140000,21384.2793,1
19/6/2017,21444.75,21535.0293,21333.8906,21394.7598,1531180000,21394.7598,1
26/6/2017,21434.6797,21506.2109,21197.0801,21349.6309,1455570000,21349.6309,0
3/7/2017,21392.3008,21562.75,21305.3809,21414.3398,1023190000,21414.3398,1
10/7/2017,21381.2305,21681.5293,21279.3008,21637.7402,1253640000,21637.7402,1
17/7/2017,21633.9707,21661.9102,21471.1406,21580.0703,1425710000,21580.0703,0
24/7/2017,21577.7793,21841.1797,21496.1309,21830.3105,1559570000,21830.3105,1
31/7/2017,21863.3906,22092.8105,21861.7109,22092.8105,1505210000,22092.8105,1
7/8/2017,22100.1992,22179.1094,21842.7402,21858.3203,1293910000,21858.3203,0
14/8/2017,21945.6406,22085.7109,21641.6309,21674.5098,1389120000,21674.5098,0
21/8/2017,21671.3594,21912.8301,21600.3398,21813.6699,1203720000,21813.6699,1
28/8/2017,21832.5,22038.9707,21673.5801,21987.5605,1321950000,21987.5605,1
4/9/2017,21912.3691,21921.0898,21709.6309,21797.7891,1274810000,21797.7891,0
11/9/2017,21927.7891,22275.0195,21927.7891,22268.3398,1794560000,22268.3398,1
18/9/2017,22297.9199,22419.5098,22283.3496,22349.5898,1517400000,22349.5898,1
25/9/2017,22320.4707,22405.6309,22219.1094,22405.0898,1499120000,22405.0898,1
2/10/2017,22423.4707,22777.0391,22416,22773.6699,1210940000,22773.6699,1
9/10/2017,22779.7305,22905.3301,22739.3809,22871.7207,1497390000,22871.7207,1
16/10/2017,22892.9199,23328.8398,22887.1191,23328.6309,1616920000,23328.6309,1
23/10/2017,23348.9492,23485.25,23251.1094,23434.1895,2152710000,23434.1895,1
30/10/2017,23405.75,23557.0605,23327.8691,23539.1895,1846500000,23539.1895,1
6/11/2017,23533.9609,23602.1191,23310.0195,23422.2109,1531660000,23422.2109,0
13/11/2017,23367.4707,23492.1895,23242.75,23358.2402,2244910000,23358.2402,0
20/11/2017,23370.7109,23617.8008,23360.5801,23557.9902,1032350000,23557.9902,1
27/11/2017,23552.8594,24327.8203,23545.0195,24231.5898,1923080000,24231.5898,1
4/12/2017,24424.1094,24534.0391,24101.2402,24329.1602,1720810000,24329.1602,1
11/12/2017,24338.1094,24688.6191,24314.7402,24651.7402,1918600000,24651.7402,1
18/12/2017,24739.5605,24876.0703,24697.1094,24754.0605,1626670000,24754.0605,1
25/12/2017,24715.8398,24871.6602,24708.4199,24719.2207,905900000,24719.2207,0
1/1/2018,24809.3496,25299.7891,24741.6992,25295.8691,1559220000,25295.8691,1
8/1/2018,25308.4004,25810.4297,25235.4102,25803.1895,1739570000,25803.1895,1
15/1/2018,25987.6191,26153.4199,25702.9902,26071.7207,2207020000,26071.7207,1
22/1/2018,26025.3203,26616.7109,25974.6504,26616.7109,2262650000,26616.7109,1
29/1/2018,26584.2793,26608.9004,25490.6602,25520.9609,2281960000,25520.9609,0
5/2/2018,25337.8691,25520.5293,23360.2891,24190.9004,3435540000,24190.9004,0
12/2/2018,24337.7598,25432.4199,24290.4805,25219.3809,2125690000,25219.3809,1
19/2/2018,25124.9102,25313.9102,24792.9902,25309.9902,1591900000,25309.9902,1
26/2/2018,25403.3496,25800.3496,24217.7598,24538.0605,2307030000,24538.0605,0
5/3/2018,24471.3105,25336.3301,24387.1504,25335.7402,1808620000,25335.7402,1
12/3/2018,25372.4395,25449.1504,24668.8301,24946.5098,2137840000,24946.5098,0
19/3/2018,24893.6895,24977.6504,23509.0605,23533.1992,1985560000,23533.1992,0
26/3/2018,23825.7402,24446.2207,23708.7305,24103.1094,1997610000,24103.1094,1
2/4/2018,24076.5996,24622.2598,23344.5195,23932.7598,2036270000,23932.7598,0
9/4/2018,24037.5195,24646.4492,23954.8301,24360.1406,1703760000,24360.1406,1
16/4/2018,24483.1504,24858.9707,24375.0391,24462.9395,1868390000,24462.9395,1
23/4/2018,24488.0703,24579.9395,23823.0801,24311.1895,2039480000,24311.1895,0
30/4/2018,24410.4102,24498.2305,23531.3105,24262.5098,1900790000,24262.5098,0
7/5/2018,24317.6602,24868.6504,24198.3398,24831.1699,1592550000,24831.1699,1
14/5/2018,24879.3691,24994.1895,24629.3906,24715.0898,1449920000,24715.0898,0
21/5/2018,24883.0605,25086.4902,24605.9004,24753.0898,1600990000,24753.0898,1
28/5/2018,24606.5898,24714.4805,24247.8398,24635.2109,1466130000,24635.2109,0
4/6/2018,24727.5508,25326.0898,24710.8203,25316.5293,1638020000,25316.5293,1
11/6/2018,25336.6699,25402.8301,24894.3809,25090.4805,1872730000,25090.4805,0
18/6/2018,24944.2793,25003.0996,24406.6309,24580.8906,1896510000,24580.8906,0
25/6/2018,24463.7305,24569.0195,23997.2109,24271.4102,1688140000,24271.4102,0
2/7/2018,24161.5293,24520.2891,24077.5605,24456.4805,862190000,24456.4805,1
9/7/2018,24519.1992,25043.2109,24518.4297,25019.4102,1201660000,25019.4102,1
16/7/2018,25025.5801,25215.3203,24979.6406,25058.1191,1294430000,25058.1191,1
23/7/2018,25036.9004,25587.2402,24983.3301,25451.0605,1404640000,25451.0605,1
30/7/2018,25439.3203,25500.1602,25120.0703,25462.5801,1508180000,25462.5801,1
6/8/2018,25437.4297,25692.7207,25222.8809,25313.1406,1146120000,25313.1406,0
13/8/2018,25327.1895,25728.1602,24965.7695,25669.3203,1361600000,25669.3203,1
20/8/2018,25727.6992,25888.8203,25608.0195,25790.3496,1104270000,25790.3496,1
27/8/2018,25882.7109,26167.9395,25879.7695,25964.8203,1160820000,25964.8203,1
3/9/2018,25916.0703,26073.6797,25805.9492,25916.5391,1087540000,25916.5391,0
10/9/2018,25991.9102,26211.1094,25754.3203,26154.6699,1290340000,26154.6699,1
17/9/2018,26151.6602,26769.1602,26030.3496,26743.5,1642660000,26743.5,1
24/9/2018,26705.25,26709.9395,26349.3398,26458.3105,1241960000,26458.3105,0
1/10/2018,26598.3594,26951.8105,26301.8105,26447.0508,1333440000,26447.0508,0
8/10/2018,26399.4492,26539.9395,24899.7695,25339.9902,1914170000,25339.9902,0
15/10/2018,25332.4609,25817.6797,25236.0098,25444.3398,1570160000,25444.3398,1
22/10/2018,25492.1406,25561.3398,24445.1895,24688.3105,2192750000,24688.3105,0
29/10/2018,24818.9805,25578.9805,24122.2305,25270.8301,2176280000,25270.8301,1
5/11/2018,25261.4707,26277.8203,25261.4707,25989.3008,1582070000,25989.3008,1
12/11/2018,25959.3301,25966.7109,24787.7891,25413.2207,1818050000,25413.2207,0
19/11/2018,25392.6094,25392.6094,24268.7402,24285.9492,1249320000,24285.9492,0
26/11/2018,24364.1309,25549.7109,24364.1309,25538.4609,1764050000,25538.4609,1
3/12/2018,25779.5703,25980.2109,24242.2207,24388.9492,1677300000,24388.9492,0
10/12/2018,24360.9492,24828.2891,23881.3691,24100.5098,1793890000,24100.5098,0
17/12/2018,23986.8301,24088.0801,22396.3398,22445.3691,2855570000,22445.3691,0
24/12/2018,22317.2793,23381.8809,21712.5293,23062.4004,1485950000,23062.4004,1
31/12/2018,23153.9395,23518.6406,22638.4102,23433.1602,1430660000,23433.1602,1
7/1/2019,23474.2598,24014.7793,23301.5898,23995.9492,1576990000,23995.9492,1
14/1/2019,23880.5293,24750.2207,23765.2402,24706.3496,1533520000,24706.3496,1
21/1/2019,24607.7598,24860.1504,24244.3105,24737.1992,1354140000,24737.1992,1
28/1/2019,24596.9805,25193.1504,24323.9395,25063.8906,1954810000,25063.8906,1
4/2/2019,25062.1191,25439.0391,24883.0391,25106.3301,1400450000,25106.3301,1
11/2/2019,25142.8105,25883.7207,25009.0996,25883.25,1424680000,25883.25,1
18/2/2019,25849.8496,26052.9004,25762.2109,26031.8105,1103970000,26031.8105,1
25/2/2019,26126.1504,26241.4199,25877.2402,26026.3203,1423240000,26026.3203,0
